Artist,Album,Year,Listened To?,Bought,Want,Don't want
John McLaughlin,Extrapolation,1969,,,,
Stanley Cowell,Blues for the Viet Cong,1969,,,,
Stanley Cowell,Brilliant Circles,1969,,,,
Wolfgang Dauner,The Oimels,1969,,,,
Horace Tapscott,West Coast Hot,1969,,,,
Liberation Music Orchestra,Song for Che,1969,,,,
Paul Bley,Improvisie,1970,,x,,
Marion Brown,Afternoon of a Georgia Faun,1970,,,,X
Alice Coltrane,Ptah The El Daoud,1970,,,X,
McCoy Tyner,Extensions,1970,,,,X
Art Ensemble of Chicago,Les Stances A Sophie,1970,,,,X
Freddie Hubbard,Straight Life,1970,,,X,
Art Ensemble of Chicago,With Fontella Bass,1970,,,,X
Pharoah Sanders,Summon Bukmun Umyun,1970,,,,X
Jan Garbarek,Afric Pepperbird,1970,,,,X
Evan Parker,The Topography of the Lungs,1970,,,x,
Herbie Hancock,Mwandishi,1970,,,,x
Spontaneous Music Ensemble,So What Do You Think,1970,,,,x
Alice Coltrane,Journey in Satchidananda,1970,,,,x
Stanley Turrentine,Sugar,1970,,,x,
Woody Shaw,Blackstone Legacy,1970,,,x,
Freddie Hubbard,Red Clay,1970,,,x,
McCoy Tyner,Asante,1970,,,,x
Miles Davis,Big Fun,1970,,,,x
Leon Thomas,Album,1970,,,,x
Hubert Laws,Afro Classic,1970,,,x,
John McLaughlin,My Goals Beyond,1970,,,x,
ICP Orchestra,Groupcomposing,1970,,,x,
Guenter Hampel,People Symphony,1970,,,,x
Keith Tippett,Dedicated To You But You Weren't Listening,1970,,,x,
Misha Mengelberg,Instant Composers Pool 005,1970,,,,x
Guenter Hampel,Ballet-Symphony,1970,,,,x
Chris McGregor,And the Brotherhood of Breath,1970,,,,x
Joe McPhee,Nation Time,1970,,,,x
Dave Burrell,After Love,1970,,,,x
Sonny Sharrock,Monkey-Pockie-Boo,1970,,,,x
Carla Bley,Escalator Over The Hill,1971,,,,
Charles Mingus,Let My Children Hear Music,1971,,,,
Paul Bley,Dual Unity,1971,,,,
Art Ensemble of Chicago,Phase One,1971,,,,
Roland Kirk,Natural Black Inventions - Root Strata,1971,,,,
Weather Report,Weather Report,1971,,,,
Jean-Luc Ponty,Open Strings,1971
Pharoah Sanders,Black Unity,1971
Lol Coxhill,Ear Of The Beholder,1971
Keith Jarrett,Facing You,1971
Mike Westbrook,Metropolis,1971
Willem Breuker,Instant Composers Pool 008,1971
Jan Garbarek,Sart,1971
Chick Corea,The Gathering,1971
Keith Tippett,Septober Energy,1971
Derek Bailey,Solo Guitar,1971
George Russell,Listen to the Silence,1971
Ornette Coleman,Science Fiction,1971
Spontaneous Music Ensemble,So What Do You Think,1971
Freddie Hubbard,First Light,1971
Keith Jarrett,Expectations,1971
Chick Corea,Piano Improvisations,1971
Joe Zawinul,Zawinul,1971
Joe McPhee,Trinity,1971
Oliver Nelson,Swiss Suite,1971
Terje Rypdal,Terje Rypdal,1971
Alice Coltrane,Universal Consciousness,1971
Paul Winter,Icarus,1971
Alice Coltrane,World Galaxy,1971
Paul Winter,Road,1971
Donald Byrd,Ethiopian Knights,1971
Tim Weisberg,Tim Weisberg,1971
Anthony Braxton,Saxophone Improvisations,1972
Dave Holland,Conference of the Birds,1972
McCoy Tyner,Sahara,1972
Weather Report,I Sing the Body Electric,1972
Jean-Luc Ponty,Sonata Erotica,1972
London Jazz Composers Orchestra,Ode,1972
Herbie Hancock,Crossings,1972
John Surman,Westering Home,1972
Chick Corea,Light as a Feather,1972
Guenter Hampel,Familie,1972
Chick Corea,Return To Forever,1972
Paul Motian,Conception Vessel,1972
Neil Ardley,Symphony of Amaranths,1972
David Liebman,Open Sky,1972
Ornette Coleman,Skies of America,1972
Gato Barbieri,Bolivia,1972
Eric Kloss,One Two Free,1972
Gary Burton,Crystal Silence,1972
Evan Parker,Collective Calls,1972
Guenter Hampel,Angel,1972
Albert Mangelsdorff,Trombirds,1972
Julius Hemphill,Dogon AD,1972
Randy Weston,Tanjah,1972
Guenter Hampel,Waltz For 11 Universes In A Corridor,1972
Joe Henderson,Black Is The Color,1972
Guenter Hampel,"Broadway ,",1972
Nucleus,Belladonna,1972
Miles Davis,On The Corner,1972
Oregon,Music Of Another Present Era,1972
Paul Bley,Open To Love,1972
George Russell,Living Time,1972
McCoy Tyner,Echoes of a Friend,1972
Mahavishnu Orchestra,Birds of Fire,1972
Stanley Cowell,Illusion Suite,1972
Stanley Clarke,Children of Forever,1972
Gary Bartz,Juju Street Songs,1972
Airto Moreira,Free,1972
Sam Rivers,Streams,1973
Roland Kirk,Prepare Thyself To Deal With A Miracle,1973
Dollar Brand,Sangoma,1973
Art Ensemble of Chicago,Fanfare For The Warriors,1973
